,postId,wordLevel,videoSpeed,subtitleLengthRatio,sectionLength,wordList
0,5085,27.2,15.03,0.34,9,"[high, areas, under, found, neither, thunderstorms, or, patterns, wave, developing, either, form, elements, two, require, pearl, creating, oyster, an, sand, grain, soon, anytime, coast, off, see, unlikely, so, bath, a, 28, major, celsius, degrees, 26, is, temperature, sea, where, develop, only, can, seas, warm, from, energy, draw, africa, close, atlantic, out, away, miles, thousands, life, begin, them, whilst, history, disasters, natural, expensive, was, devastating, 2005, august, new, struck, which, katrina, hurricane, one, big, really, last, might, remember, speed, driven, how, released, cloud, near, moist, larger, grows, spinning, pattern, recognizable, first, due, path, curved, arrive, surface, at, drawn, beginning, violent, produces, ...]"
1,3913,14.29,13.53,0.24,5,"[you, know, will, shakespeare, was, right, all, the, world, is, a, stage, are, always, judged, by, way, perform, especially, in, business, got, to, be, able, learn, how, articulate, your, message, there, three, points, that, crucial, reducing, accent, if, want, presenting, english, and, first, one, kind, of, blows, people, out, water, 1, not, problem, been, told, for, years, could, please, speak, more, slowly, because, i, understand, then, come, along, say, but, guess, what, take, jacky, chen, as, soon, man, opens, his, mouth, hear, mother, tongue, yet, we, him, time, he, makes, tons, money, performing, american, movies, 2, language, has, rhythm, which, ...]"
2,3711,18.65,10.67,0.16,7,"[i, love, you, hey, hmm, how, many, were, there, before, me, what, do, mean, girls, did, five, loved, women, are, their, names, who, when, where, why, can, tell, about, them, was, a, girl, from, college, exactly, close, to, her, but, with, some, superficial, facts, and, few, interactions, over, semester, know, like, most, guys, fantasizing, they, barely, filled, in, the, blanks, fairytale, author, she, became, my, head, probably, more, than, reality, third, year, sorority, yeah, an, infatuated, freshman, sure, several, times, we, got, spend, together, outside, of, class, really, allowed, see, also, had, good, heart, bright, spirit, only, problem, so, just, ...]"
3,3693,24.83,16.39,0.16,6,"[your, guide, to, safety, aboard, this, 777-300er, welcome, air, middle-earth, flight, before, we, set, out, on, our, journey, i, would, like, impart, the, story, of, even, if, you, fly, with, us, often, be, sure, keep, a, sharp, eye, briefing, make, belongings, are, hidden, away, in, compartments, above, or, under, seat, all, travelers, must, watchful, lighted, signs, and, follow, crew, instructions, belt, sign, is, sit, yourself, down, fasten, quick, smart, that, snug, across, hips, but, not, so, tight, as, lose, feeling, legs, skycouch, row, there, special, pocket, recommend, keeping, fastened, throughout, should, need, explore, it, can, always, undone, an, oxygen, mask, ...]"
4,3589,28.68,12.95,0.14,5,"[dogs, 101, siberian, husky, a, group, of, saved, nome, alaska, quite, an, accomplishment, for, dog, right, in, 1925, killer, diphtheria, outbreak, crippled, the, town, teams, marched, through, blinding, blizzard, to, deliver, lifesaving, syrup, lead, balto, is, even, memorialized, with, statue, new, york, central, park, are, strong, silent, type, but, boy, can, they, howl, be, heard, up, ten, miles, away, and, real, not, toy, pretend-dog, this, as, its, name, from, extreme, northeast, siberia, chukchi, people, develop, work, harsh, arctic, conditions, were, brought, america, by, way, 1909, quintessential, sled, love, out, cold, weather, pulling, sleds, breed, has, striking, eyes, there, several, color, ...]"
5,4802,21.22,14.42,0.34,6,"[people, are, talking, a, lot, about, inequality, these, days, the, fact, that, richest, one, percent, have, so, much, more, than, everybody, else, but, most, of, focus, seems, to, be, on, united, states, and, it, strikes, me, same, story, needs, told, global, too, i, did, some, research, this, is, what, found, from, reliable, sources, like, un, turns, out, while, us, totally, whack, things, actually, way, worse, for, planet, as, whole, start, with, graph, perfectly, even, distribution, wealth, among, all, living, everyone, divided, into, five, equal, groups, now, show, how, each, group, has, shocking, right, eighty, barely, any, hard, see, them, chart, ...]"
6,4561,30.21,14.91,0.49,14,"[there, are, these, two, young, fish, swimming, along, and, they, happen, to, meet, an, older, the, other, way, who, nods, at, them, says, morning, boys, water, swim, on, for, a, bit, then, eventually, one, of, looks, over, goes, what, hell, is, point, story, merely, that, most, obvious, important, realities, often, ones, hardest, see, talk, about, stated, as, english, sentence, course, this, just, banal, platitude, but, fact, in, day-to-day, trenches, adult, existence, can, have, life-or-death, importance, plain, you, graduating, seniors, do, not, yet, any, clue, day, out, really, means, be, whole, large, parts, american, life, nobody, talks, commencement, speeches, such, part, ...]"
7,4968,26.16,13.67,0.11,5,"[once, upon, a, time, there, were, no, food, colorings, then, folks, figure, that, the, looks, better, and, consequently, sells, when, on, top, with, some, nice, lovely, colors, for, most, history, dyes, came, from, natural, sources, such, as, beet, juice, red, turmeric, yellow, however, in, quest, to, maximize, profit, by, lowering, costs, artificial, much, cheaper, introduced, markets, easy, understand, why, many, companies, like, using, more, stable, brighter, than, professional, chefs, refuse, use, them, countries, norway, uk, have, banned, of, also, never, find, health, stores, well, you, know, petroleum, we, fuel, our, vehicles, acetone, removes, nail, polish, your, nails, how, about, coal, ...]"
8,4336,26.3,13.45,0.45,16,"[researchers, have, been, studying, in, the, factors, that, influence, us, to, say, yes, request, of, others, for, over, sixty, years, and, there, can, be, no, doubt, a, science, how, persuaded, lot, is, surprising, when, making, decision, it, would, nice, think, people, consider, all, available, information, order, guide, their, thinking, but, reality, very, often, different, increasingly, overloaded, lives, we, live, more, than, ever, need, shortcuts, or, rules, thumb, our, my, own, researches, identified, just, six, these, as, universals, human, behavior, they, are, reciprocity, scarcity, authority, consistency, liking, consensus, understanding, employing, them, an, ethical, manner, significantly, increase, chances, someone, will, by, your, ...]"
9,4424,27.76,12.2,0.1,6,"[visualization, is, right, at, the, heart, of, my, own, work, too, i, teach, global, health, and, know, having, data, not, enough, have, to, show, it, in, ways, people, both, enjoy, understand, now, am, going, try, something, never, done, before, animating, real, space, with, a, bit, technical, assistance, from, crew, so, here, we, go, first, an, axis, for, life, expectancy, twenty-five, years, seventy-five, down, wealth, income, per, person, four, hundred, thousand, forty, dollar, poor, sick, up, rich, healthy, you, world, two, ago, 1810, come, all, countries, europe, brown, asia, red, middle, east, green, africa, south, sahara, blue, americas, yellow, size, country, ...]"
